,person_id,id,name,role
8890,102503,tm121209,Joshua Logan,DIRECTOR
8919,34085,tm109185,Henri-Georges Clouzot,DIRECTOR
8965,28852,tm128870,Vincente Minnelli,DIRECTOR
8972,124533,tm124595,Chantal Akerman,DIRECTOR
8997,148956,tm67454,Věra Chytilová,DIRECTOR
9017,210814,tm108185,Satyajit Ray,DIRECTOR
9041,174320,tm185165,Toshiya Fujita,DIRECTOR
9075,23732,tm119834,Ingmar Bergman,DIRECTOR
9144,102947,tm120163,Jacques Demy,DIRECTOR
9155,11594,tm184895,Brian De Palma,DIRECTOR
9176,15246,tm88406,Orson Welles,DIRECTOR
9191,20558,tm18537,Federico Fellini,DIRECTOR
9204,23732,tm185200,Ingmar Bergman,DIRECTOR
9230,69944,tm11228,Agnès Varda,DIRECTOR
9260,106013,tm40940,Yasujirō Ozu,DIRECTOR
9278,38986,tm96212,Robert Altman,DIRECTOR
9305,20558,tm187689,Federico Fellini,DIRECTOR
9327,23732,tm153746,Ingmar Bergman,DIRECTOR
9347,28852,tm15968,Vincente Minnelli,DIRECTOR
9353,45323,tm114004,Alain Resnais,DIRECTOR
9372,1063,tm73945,Robert Aldrich,DIRECTOR
9388,1063,tm85528,Robert Aldrich,DIRECTOR
9412,14084,tm87865,Blake Edwards,DIRECTOR
9445,52956,tm72207,Costa-Gavras,DIRECTOR
9470,473875,tm19004,Claudia Weill,DIRECTOR
9486,95962,tm185943,Kaneto Shindō,DIRECTOR
9491,23732,tm47884,Ingmar Bergman,DIRECTOR
9512,34834,tm52243,Michelangelo Antonioni,DIRECTOR
9530,12074,tm12072,François Truffaut,DIRECTOR
9544,22488,tm124668,Billy Wilder,DIRECTOR
9580,53148,tm103037,Albert Maysles,DIRECTOR
9581,482063,tm103037,Charlotte Zwerin,DIRECTOR
9582,110963,tm103037,David Maysles,DIRECTOR
9591,69816,tm119413,D. A. Pennebaker,DIRECTOR
9667,210940,tm183324,Masaki Kobayashi,DIRECTOR
9677,48089,tm88911,Barbara Kopple,DIRECTOR
9692,34834,tm46815,Michelangelo Antonioni,DIRECTOR
9711,88848,tm108603,Rainer Werner Fassbinder,DIRECTOR
9756,138494,tm109203,Kenji Mizoguchi,DIRECTOR
9799,22658,tm92711,Bruce Beresford,DIRECTOR
9818,8864,tm91569,Peter Weir,DIRECTOR
9835,106013,tm135863,Yasujirō Ozu,DIRECTOR
9912,209719,tm76771,Sergey Bondarchuk,DIRECTOR
9942,72347,tm28562,Tony Richardson,DIRECTOR
9958,203336,tm81976,Guy Green,DIRECTOR
9992,66797,tm14155,Derek Jarman,DIRECTOR
10013,106013,tm44575,Yasujirō Ozu,DIRECTOR
10024,21374,tm14014,Robert Mulligan,DIRECTOR
10057,35197,tm17268,John Cassavetes,DIRECTOR
10073,73109,tm39463,Marcel Camus,DIRECTOR
10110,35197,tm86154,John Cassavetes,DIRECTOR
10124,23732,tm19874,Ingmar Bergman,DIRECTOR
10142,73480,tm105881,Liliana Cavani,DIRECTOR
10152,46843,tm70946,Éric Rohmer,DIRECTOR
10164,43895,tm121674,Jean-Luc Godard,DIRECTOR
10178,523523,tm147474,Gordon Parks Jr.,DIRECTOR
10201,103155,tm105641,Barbara Loden,DIRECTOR
10216,49023,tm128455,Martin Ritt,DIRECTOR
10238,73046,tm89191,James Fargo,DIRECTOR
10256,210814,tm37127,Satyajit Ray,DIRECTOR
10271,24762,tm192853,David Cronenberg,DIRECTOR
10289,62822,tm129177,Stuart Rosenberg,DIRECTOR
10332,49467,tm70367,Franc Roddam,DIRECTOR
10338,17776,tm10313,Roman Polanski,DIRECTOR
10341,64608,tm15104,Marty Callner,DIRECTOR
10377,19352,tm120791,Richard Fleischer,DIRECTOR
10411,35197,tm91568,John Cassavetes,DIRECTOR
10429,305623,tm101406,Anik Dutta,DIRECTOR
10456,40191,tm103259,Jacques Tati,DIRECTOR
10468,56386,tm68390,Monte Hellman,DIRECTOR
10492,43895,tm12793,Jean-Luc Godard,DIRECTOR
10514,106013,tm116799,Yasujirō Ozu,DIRECTOR
10534,34834,tm186978,Michelangelo Antonioni,DIRECTOR
10562,43887,tm29183,Samuel Fuller,DIRECTOR
10583,21759,tm60015,Charlie Chaplin,DIRECTOR
10590,88848,tm150747,Rainer Werner Fassbinder,DIRECTOR
10611,35342,tm72561,Volker Schlöndorff,DIRECTOR
10660,222227,tm156325,Kenji Misumi,DIRECTOR
10697,21824,tm102067,John Waters,DIRECTOR
10719,254386,tm112065,Jun Fukuda,DIRECTOR
10759,106013,tm94668,Yasujirō Ozu,DIRECTOR
10780,29179,tm182041,Bryan Forbes,DIRECTOR
10824,411623,tm122614,Mikhail Kalatozov,DIRECTOR
10852,151855,tm17654,Hiroshi Inagaki,DIRECTOR
10894,69816,tm14994,D. A. Pennebaker,DIRECTOR
10918,88848,tm126855,Rainer Werner Fassbinder,DIRECTOR
10942,23705,tm9624,Richard Brooks,DIRECTOR
10977,21691,tm40216,Fred Zinnemann,DIRECTOR
11026,29799,tm104934,Akira Kurosawa,DIRECTOR
11039,73145,tm106134,Max Ophüls,DIRECTOR
11064,53423,tm130126,Andrzej Wajda,DIRECTOR
11081,12074,tm47786,François Truffaut,DIRECTOR
11095,64526,tm153192,Peter Medak,DIRECTOR
11101,110963,tm12810,David Maysles,DIRECTOR
11102,482063,tm12810,Charlotte Zwerin,DIRECTOR
11103,53148,tm12810,Albert Maysles,DIRECTOR
11139,49931,tm76011,Gillian Armstrong,DIRECTOR
11154,43895,tm67435,Jean-Luc Godard,DIRECTOR
11167,71801,tm19547,Roberto Rossellini,DIRECTOR
11186,31393,tm112552,Laurence Olivier,DIRECTOR
11229,33227,tm182273,Ishirō Honda,DIRECTOR
11243,216555,tm73219,Ousmane Sembene,DIRECTOR
11265,254386,tm152030,Jun Fukuda,DIRECTOR
11289,113423,tm45508,Pietro Germi,DIRECTOR
11299,17900,tm69813,John Huston,DIRECTOR
11342,128089,tm79002,Elmar Klos,DIRECTOR
11343,128088,tm79002,Ján Kadár,DIRECTOR
11373,20558,tm105976,Federico Fellini,DIRECTOR
11386,72347,tm948,Tony Richardson,DIRECTOR
11399,21374,tm77586,Robert Mulligan,DIRECTOR
11417,536610,tm78434,Leonard Kastle,DIRECTOR
11435,151701,tm91551,Andrew L. Stone,DIRECTOR
11464,43887,tm185022,Samuel Fuller,DIRECTOR
11492,88848,tm72779,Rainer Werner Fassbinder,DIRECTOR
11524,35197,tm52201,John Cassavetes,DIRECTOR
11538,75801,tm100656,Roger Vadim,DIRECTOR
11558,535562,tm188205,Anton Leader,DIRECTOR
11573,71801,tm55130,Roberto Rossellini,DIRECTOR
11585,35968,tm19681,Luchino Visconti,DIRECTOR
11632,33227,tm16584,Ishirō Honda,DIRECTOR
11659,118775,tm96136,Terry O. Morse,DIRECTOR
11660,33227,tm96136,Ishirō Honda,DIRECTOR
11664,29451,tm43188,Ranald MacDougall,DIRECTOR
11668,1420990,tm113394,Peter Davis,DIRECTOR
11670,124533,tm87229,Chantal Akerman,DIRECTOR
11688,74720,tm135049,Jean Renoir,DIRECTOR
11707,77697,tm17740,Yoshimitsu Banno,DIRECTOR
11717,516616,tm96081,Albert Lamorisse,DIRECTOR
11730,69944,tm78659,Agnès Varda,DIRECTOR
11761,12074,tm93787,François Truffaut,DIRECTOR
11774,65494,tm10466,Robert Bresson,DIRECTOR
11811,106013,tm131861,Yasujirō Ozu,DIRECTOR
11831,15246,tm113170,Orson Welles,DIRECTOR
11854,49508,tm54823,Basil Dearden,DIRECTOR
11871,254386,tm187368,Jun Fukuda,DIRECTOR
11905,80854,tm188425,Jack Starrett,DIRECTOR
11920,73424,tm103694,Dennis Muren,DIRECTOR
11921,529580,tm103694,Jack Woods,DIRECTOR
11950,556885,tm109142,Motoyoshi Oda,DIRECTOR
11956,75282,tm63352,Sergio Corbucci,DIRECTOR
11982,210814,tm28200,Satyajit Ray,DIRECTOR
12006,46843,tm155263,Éric Rohmer,DIRECTOR
12045,33227,tm180597,Ishirō Honda,DIRECTOR
12074,28852,tm59756,Vincente Minnelli,DIRECTOR
12086,62021,tm58684,Vittorio De Sica,DIRECTOR
12124,69944,tm91404,Agnès Varda,DIRECTOR
12149,73145,tm107415,Max Ophüls,DIRECTOR
12175,81798,tm25647,Leslie H. Martinson,DIRECTOR
12193,210814,tm63812,Satyajit Ray,DIRECTOR
12222,28852,tm120886,Vincente Minnelli,DIRECTOR
12247,12074,tm153422,François Truffaut,DIRECTOR
12253,15246,tm13483,Orson Welles,DIRECTOR
12282,13439,tm152876,George Cukor,DIRECTOR
12288,775567,tm184958,Djibril Diop Mambéty,DIRECTOR
12328,222227,tm156330,Kenji Misumi,DIRECTOR
12339,210814,tm130897,Satyajit Ray,DIRECTOR
12456,71945,tm97145,David Miller,DIRECTOR
12462,149731,tm82449,Kon Ichikawa,DIRECTOR
12484,43895,tm1859,Jean-Luc Godard,DIRECTOR
12495,473542,tm120171,Charles Bail,DIRECTOR
12541,33227,tm101387,Ishirō Honda,DIRECTOR
12563,106013,tm51439,Yasujirō Ozu,DIRECTOR
12572,119963,tm25678,Peter Tewksbury,DIRECTOR
12593,49661,tm11801,Michael Gordon,DIRECTOR
12625,20558,tm81844,Federico Fellini,DIRECTOR
12639,27148,tm101680,Jim Jarmusch,DIRECTOR
12646,223358,tm56808,Robert Drew,DIRECTOR
12690,151855,tm96834,Hiroshi Inagaki,DIRECTOR
12710,222227,tm149956,Kenji Misumi,DIRECTOR
12769,209719,tm73824,Sergey Bondarchuk,DIRECTOR
12791,33227,tm74276,Ishirō Honda,DIRECTOR
12795,124533,tm83305,Chantal Akerman,DIRECTOR
12813,47245,tm131671,Sergei Eisenstein,DIRECTOR
12821,69944,tm110298,Agnès Varda,DIRECTOR
12835,174320,tm110873,Toshiya Fujita,DIRECTOR
12888,45323,tm98935,Alain Resnais,DIRECTOR
12907,254386,tm121885,Jun Fukuda,DIRECTOR
12926,72347,tm40029,Tony Richardson,DIRECTOR
12946,33227,tm71397,Ishirō Honda,DIRECTOR
12982,33227,tm81703,Ishirō Honda,DIRECTOR
